latitude,longitude,current_rain_mm_hr,rain_48h_mm,soil_moisture_pct,forecast_severity,forecast_label,trigger_score,alert_level,alert_status
25.72739,89.97977,58.85,24.74,57.19,3,Extreme Storm,0.3472,1,Watch
26.56063,93.68731,14.04,222.76,77.52,1,Light Rain,0.427,1,Watch
26.08814,94.26899,1.97,513.0,26.98,0,Clear,0.4219,1,Watch
26.25826,96.03446,1.83,243.11,22.36,1,Light Rain,0.2945,1,Watch
26.09396,89.49841,50.34,204.63,45.73,1,Light Rain,0.4297,1,Watch
25.5002,89.23462,9.65,539.54,15.37,0,Clear,0.4097,1,Watch
25.59403,89.25805,43.56,11.28,47.03,1,Light Rain,0.2569,1,Watch
21.99192,96.08373,2.0,19.43,19.61,1,Light Rain,0.1414,0,Safe
25.57536,91.74984,16.76,50.21,45.69,1,Light Rain,0.2254,0,Safe
29.24346,90.54622,18.48,60.69,69.94,1,Light Rain,0.2999,1,Watch
25.24589,93.86496,11.0,91.24,33.32,1,Light Rain,0.2015,0,Safe
25.778,92.20597,115.32,23.37,94.35,2,Heavy Rain,0.5205,2,Warning
24.68255,90.93998,58.01,7.45,48.33,1,Light Rain,0.2767,1,Watch
28.70967,92.24677,1.83,441.28,46.01,1,Light Rain,0.4213,1,Watch
25.96169,91.61413,150.0,11.91,19.99,0,Clear,0.24,0,Safe
29.12362,88.50154,0.4,6.74,16.4,0,Clear,0.0426,0,Safe
25.60446,96.54827,78.17,77.9,94.01,0,Clear,0.4105,1,Watch
21.57337,91.23009,18.02,49.81,19.24,0,Clear,0.1761,0,Safe
25.80205,89.21754,2.09,60.04,89.42,0,Clear,0.2789,1,Watch
21.66352,89.95599,0.39,426.92,59.59,0,Clear,0.4567,1,Watch
26.89371,90.38659,113.5,17.42,53.79,2,Heavy Rain,0.3855,1,Watch
25.57839,93.06311,21.3,21.49,32.49,2,Heavy Rain,0.1739,0,Safe
24.8899,89.83911,37.27,371.16,72.76,0,Clear,0.4581,1,Watch
26.97168,90.76265,118.14,57.04,89.42,0,Clear,0.4081,1,Watch
26.17058,95.38798,27.83,43.74,31.94,0,Clear,0.1844,0,Safe
29.47376,94.75143,0.62,28.85,76.64,1,Light Rain,0.2575,1,Watch
28.69386,96.88965,0.42,1.33,72.81,1,Light Rain,0.276,1,Watch
25.91678,94.26479,1.14,72.36,18.35,0,Clear,0.118,0,Safe
21.86971,94.0572,2.99,71.67,87.77,1,Light Rain,0.3152,1,Watch
24.8665,91.51246,0.94,78.96,83.28,3,Extreme Storm,0.2832,1,Watch
24.3271,92.97922,50.4,506.99,29.08,1,Light Rain,0.6044,2,Warning
