latitude,longitude,slope_degrees,elevation_m,land_use_code,land_use_label,soil_code,soil_label,susceptibility_score,is_susceptible
25.72739,89.97977,31.85,1374.2,2,Degraded Forest,0,Granite/Gneiss,0.32,0
26.56063,93.68731,29.29,1644.7,3,Urban,2,Alluvial,0.4848,0
26.08814,94.26899,35.62,1046.0,4,Barren,0,Granite/Gneiss,0.3949,0
26.25826,96.03446,28.12,1259.7,0,Dense Forest,1,Laterite,0.2268,0
26.09396,89.49841,37.4,1297.0,2,Degraded Forest,0,Granite/Gneiss,0.3107,0
25.5002,89.23462,25.11,1157.5,2,Degraded Forest,4,Shale,0.5114,0
25.59403,89.25805,35.2,1030.8,0,Dense Forest,3,Colluvial,0.4446,0
21.99192,96.08373,10.06,570.3,1,Agriculture,3,Colluvial,0.2725,0
25.57536,91.74984,37.37,703.9,1,Agriculture,2,Alluvial,0.5302,0
29.24346,90.54622,29.81,1531.8,0,Dense Forest,4,Shale,0.4751,0
25.24589,93.86496,29.0,939.7,0,Dense Forest,4,Shale,0.4758,0
25.778,92.20597,26.51,1411.3,3,Urban,1,Laterite,0.4618,0
24.68255,90.93998,26.57,1048.0,2,Degraded Forest,1,Laterite,0.3494,0
28.70967,92.24677,32.55,1423.5,2,Degraded Forest,2,Alluvial,0.4257,0
25.96169,91.61413,30.17,1672.6,2,Degraded Forest,0,Granite/Gneiss,0.4434,0
29.12362,88.50154,34.71,1926.2,0,Dense Forest,4,Shale,0.4415,0
25.60446,96.54827,28.49,793.1,0,Dense Forest,1,Laterite,0.229,0
21.57337,91.23009,12.63,98.1,0,Dense Forest,2,Alluvial,0.1392,0
25.80205,89.21754,33.77,1261.4,1,Agriculture,3,Colluvial,0.4374,0
21.66352,89.95599,16.14,387.3,4,Barren,1,Laterite,0.3526,0
26.89371,90.38659,50.25,1300.4,2,Degraded Forest,1,Laterite,0.4774,0
25.57839,93.06311,26.21,1122.1,0,Dense Forest,0,Granite/Gneiss,0.2192,0
24.8899,89.83911,26.65,837.8,0,Dense Forest,2,Alluvial,0.3346,0
26.97168,90.76265,60.99,1318.0,2,Degraded Forest,0,Granite/Gneiss,0.4752,0
26.17058,95.38798,30.73,1295.8,2,Degraded Forest,3,Colluvial,0.4595,0
29.47376,94.75143,52.53,2182.2,2,Degraded Forest,2,Alluvial,0.5774,1
28.69386,96.88965,46.59,1491.1,0,Dense Forest,2,Alluvial,0.3563,0
25.91678,94.26479,50.24,1047.2,1,Agriculture,1,Laterite,0.3916,0
21.86971,94.0572,4.94,62.8,1,Agriculture,1,Laterite,0.1043,0
24.8665,91.51246,15.27,655.9,3,Urban,3,Colluvial,0.5254,0
24.3271,92.97922,16.66,524.3,0,Dense Forest,1,Laterite,0.0942,0
21.60336,88.6368,16.77,128.2,0,Dense Forest,3,Colluvial,0.244,0
21.73952,93.61532,7.87,50.0,2,Degraded Forest,1,Laterite,0.2055,0
27.8533,89.38056,21.76,1308.2,0,Dense Forest,3,Colluvial,0.4251,0
25.84235,96.4614,23.89,1041.2,2,Degraded Forest,3,Colluvial,0.4293,0
22.05729,95.80495,20.04,50.0,0,Dense Forest,2,Alluvial,0.1682,0
23.01027,90.67714,13.43,541.5,0,Dense Forest,4,Shale,0.3522,0
25.16339,88.33494,37.88,828.4,3,Urban,1,Laterite,0.3944,0
24.16849,95.51544,16.0,461.5,1,Agriculture,4,Shale,0.327,0
25.65284,92.27947,30.69,1499.5,0,Dense Forest,1,Laterite,0.3458,0
