City Name,State,Latitude,Longitude,Elevation (m),Annual Rainfall (mm),Earthquake Frequency,Erosion Index,Mining Activity,Landslide Probability,Flood Probability,Temperature (°C)
Mumbai,Maharashtra,33.202394,72.994982,1577,2137.86,4,9.5,No,0.47,0.499,16.6
Delhi,Delhi,18.95822,76.619452,558,4041.07,5,9.7,Yes,0.093,0.27,42.9
Bangalore,Karnataka,26.524548,73.167007,358,3696.92,3,9.8,No,0.52,0.253,41.8
Hyderabad,Telangana,35.743758,93.580065,357,3381.39,1,3.6,No,0.755,0.224,32.6
Ahmedabad,Gujarat,17.231187,68.270339,2292,727.52,1,9.6,Yes,0.69,0.527,37.1
Chennai,Tamil Nadu,15.376836,68.034872,2307,1664.47,3,3.3,No,0.495,0.178,27.5
Kolkata,West Bengal,36.264223,75.642153,1938,4973.33,5,2.1,Yes,0.152,0.471,23.5
Pune,Maharashtra,35.005792,87.722536,2109,3567.47,3,3.3,No,0.078,0.059,38.2
Jaipur,Rajasthan,15.507746,73.975214,1778,4396.09,5,7,No,0.485,0.295,36.2
Surat,Gujarat,18.455029,72.013668,1253,2479.76,1,7,No,0.02,0.153,25.5
Lucknow,Uttar Pradesh,9.540876,82.445911,1791,773.35,1,0.1,No,0.032,0.726,38.1
Kanpur,Uttar Pradesh,31.338065,76.31334,1639,2883.91,1,3.3,Yes,0.035,0.751,18.5
Nagpur,Maharashtra,36.990328,89.156091,190,1862.43,3,6.1,Yes,0.691,0.052,27
Visakhapatnam,Andhra Pradesh,23.610265,80.083696,184,3183.58,3,1.8,Yes,0.04,0.24,19.6
Bhopal,Madhya Pradesh,13.988127,88.156085,793,4647.49,1,5.6,Yes,0.544,0.492,17.4
Patna,Bihar,15.313141,70.707687,2946,3025.07,4,4.3,No,0.211,0.899,15.8
Vadodara,Gujarat,15.977252,94.52562,525,4744.76,4,6.6,Yes,0.105,0.057,42.4
Ghaziabad,Uttar Pradesh,10.158443,81.915755,767,2577.1,4,7.3,No,0.919,0.614,34.2
Ludhiana,Punjab,11.326309,79.946652,976,4225.04,5,7.7,Yes,0.083,0.627,20.6
Agra,Uttar Pradesh,32.274129,74.347397,1359,3159.74,4,5.7,Yes,0.102,0.836,38.7
Nashik,Maharashtra,18.672811,82.599427,250,2425.37,2,3,Yes,0.989,0.942,18.9
Faridabad,Haryana,34.620499,76.885507,2802,1930.43,5,3.3,Yes,0.622,0.778,26.3
Meerut,Uttar Pradesh,34.480253,82.463039,860,2440.28,2,7.1,Yes,0.02,0.214,43.9
Rajkot,Gujarat,32.20758,74.953557,727,1760.77,5,8.4,No,0.431,0.816,30.9
Kalyan,Maharashtra,23.49563,84.007866,1685,2220.61,1,10,Yes,0.591,0.706,26.4
Vasai-Virar,Maharashtra,15.73764,74.262476,1234,3506.68,5,4.5,No,0.678,0.815,32.7
Varanasi,Uttar Pradesh,16.478679,89.939894,18,1593.31,4,3.3,Yes,0.191,0.081,27.4
Srinagar,Jammu & Kashmir,14.623603,88.493174,1373,2132.42,3,0.9,No,0.07,0.501,34.8
Aurangabad,Maharashtra,25.275108,76.552522,351,2757.59,2,7.4,No,0.634,0.993,19.1
Dhanbad,Jharkhand,34.17751,92.817111,2185,1936.4,5,7.1,Yes,0.998,0.62,21.7
Mumbai,Maharashtra,9.688116,69.638732,1740,512.56,2,9.8,Yes,0.731,0.393,12.3
Delhi,Delhi,19.024633,95.242922,1899,1788.97,3,5,Yes,0.973,0.359,37
Bangalore,Karnataka,24.953838,95.310336,2207,4114.77,1,9.9,No,0.894,0.167,28.8
Hyderabad,Telangana,21.662528,70.820856,2198,1470.9,2,6.2,No,0.971,0.859,20.4
Ahmedabad,Gujarat,20.242369,72.14008,404,4787.47,4,5.6,Yes,0.231,0.042,16.1
Chennai,Tamil Nadu,17.6768,87.765646,1058,2368.72,3,3.8,No,0.604,0.643,20
Kolkata,West Bengal,9.629752,79.332694,1386,739.44,2,3.2,No,0.935,0.854,29.4
Pune,Maharashtra,21.697735,81.990101,1103,4446.7,2,8.5,Yes,0.648,0.861,10.8
Jaipur,Rajasthan,18.80779,85.243789,2694,3289.7,3,2.9,Yes,0.006,0.259,21.6
Surat,Gujarat,28.688146,68.080444,2118,3754.82,2,8,Yes,0.39,0.108,42.6
Lucknow,Uttar Pradesh,13.472328,79.792785,2066,3355.28,4,5.6,Yes,0.906,0.671,41
Kanpur,Uttar Pradesh,31.096875,79.684903,231,4108.66,2,6.2,Yes,0.175,0.018,34.8
Nagpur,Maharashtra,9.095376,78.483189,435,3432.47,3,6.6,No,0.765,0.044,44.5
Visakhapatnam,Andhra Pradesh,24.506176,72.660061,2360,647.41,5,7.4,Yes,0.791,0.777,35.9
Bhopal,Madhya Pradesh,33.574464,90.159729,738,777.21,5,6.4,No,0.745,0.009,34
Patna,Bihar,35.190045,94.123699,2744,2609.22,3,9.9,Yes,0.757,0.21,10.3
Vadodara,Gujarat,25.680937,70.474064,1842,1199.93,1,8.6,Yes,0.285,0.594,38.2
Ghaziabad,Uttar Pradesh,24.600213,91.347792,2559,4585.45,4,0.4,No,0.153,0.835,34.7
Ludhiana,Punjab,19.065517,69.504967,504,2636.25,2,2.4,No,0.28,0.251,29.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,20.251662,85.770605,2319,4769.98,5,1.8,Yes,0.992,0.54,24.3
Faridabad,Haryana,16.597213,92.508187,1413,2993.56,3,1.9,Yes,0.988,0.389,39.8
Meerut,Uttar Pradesh,25.889273,83.288646,2296,4772.16,3,0.6,No,0.421,0.294,34.9
Rajkot,Gujarat,28.342726,77.799948,929,4081.65,4,6.1,No,0.527,0.255,16.3
Kalyan,Maharashtra,32.571172,82.455388,701,1166.11,1,2.1,Yes,0.449,0.159,17.9
Vasai-Virar,Maharashtra,32.862449,75.803242,2392,2505.75,4,5.1,Yes,0.827,0.341,12.1
Varanasi,Uttar Pradesh,13.980945,96.591183,2008,3503.47,3,2.1,No,0.431,0.612,12.8
